player_id,year,team
13284,1999,CAR
13284,2000,CAR
11669,1990,MIN
11669,1991,MIN
11669,1992,SEA
23478,1970,DET
23478,1971,DET
23478,1972,DET
23478,1973,DET
23478,1974,DET
23478,1975,DET
23478,1976,DET
23478,1977,SEA
23478,1978,SEA
23478,1979,SEA
23478,1980,SEA
10371,1987,KAN
547,1987,MIN
547,1988,MIN
547,1989,TAM
547,1990,TAM
547,1991,TAM
547,1992,SDG
547,1993,SDG
16023,1982,HOU
16023,1983,HOU
16023,1984,HOU
16023,1985,HOU
16023,1986,HOU
16023,1987,HOU
16023,1988,HOU
16023,1989,HOU
16023,1990,HOU
16023,1991,HOU
16023,1992,HOU
16023,1993,HOU
646,1987,CHI
22041,1990,TAM
22041,1991,TAM
9814,2001,DAL
9814,2002,CAR
5764,1985,MIN
5764,1986,MIN
5764,1987,MIN
5764,1988,MIN
5764,1989,MIN
5764,1990,MIN
5764,1991,MIN
5764,1992,MIN
5764,1993,MIN
5764,1994,ATL
5764,1995,ATL
5764,1996,SFO
5764,1997,SFO
5764,1998,SFO
5764,1999,MIN
11746,1984,CHI
10263,2011,KAN
10263,2012,KAN
10263,2013,KAN
10263,2014,KAN
10263,2015,KAN
10263,2016,KAN
10263,2017,KAN
19245,1956,WAS
19245,1957,WAS
23747,1987,SEA
23830,2016,GNB
23830,2017,GNB
6067,1984,STL
6067,1985,STL
24207,2004,MIA
19839,1996,NWE
3545,1994,DEN
3545,1995,DEN
3545,1996,DEN
3545,1997,DEN
3545,1998,DEN
3545,1999,DEN
3545,2000,DEN
3545,2001,DEN
3545,2002,DEN
3545,2003,DEN
3545,2004,DEN
3545,2005,DEN
24809,2000,DET
24809,2001,DET
24809,2002,DET
24809,2003,MIA
24809,2004,MIA
3956,2001,DEN
2510,2001,IND
10693,2010,TEN
15060,2014,CLE
15060,2015,CLE
15060,2016,CLE
15060,2017,CLE
7259,1975,NWE
7259,1976,NWE
7259,1977,NWE
7259,1978,NWE
7259,1979,NWE
7259,1980,NWE
7259,1982,SFO
7259,1983,SFO
7259,1984,SFO
7259,1985,SFO
7259,1986,SFO
7259,1987,NWE
7259,1988,NWE
23515,1992,MIA
23515,1993,MIA
23515,1994,MIA
23515,1995,CLE
23515,1997,BAL
23515,1998,BAL
23515,1999,BAL
23515,2000,BAL
23515,2001,BAL
23515,2002,NYJ
10595,2011,NYG
10595,2012,NYG
10595,2013,NYG
10595,2014,NYG
4182,2001,STL
16732,1997,BAL
16732,1998,BAL
16732,1999,BAL
22885,1984,PIT
20950,2000,CIN
20950,2002,CIN
20950,2003,HOU
23110,1991,DEN
23110,1992,DEN
22943,1987,NWE
22943,1988,NWE
22943,1989,NWE
22943,1990,NWE
22943,1991,NWE
22943,1992,PHO
22943,1993,KAN
22943,1994,KAN
22943,1995,KAN
22943,1996,KAN
22943,1997,NWE
22943,1998,CAR
8344,2000,DET
8344,2001,DET
8344,2002,DET
8344,2003,DET
8344,2004,NYG
8344,2005,NYG
17012,1973,KAN
17012,1974,KAN
17012,1975,KAN
17012,1977,NYJ
22975,1970,BAL
22975,1971,BAL
22975,1972,BAL
9772,1979,NYG
9772,1980,NYG
24401,2011,NOR
24401,2012,NOR
24401,2013,DAL
16522,1962,OAK
23435,1994,IND
23435,1995,IND
23435,1996,IND
23435,1997,IND
24297,2014,TEN
24297,2015,TEN
24297,2016,TEN
24297,2017,TEN
2936,2010,GNB
2936,2011,GNB
2936,2012,GNB
2936,2014,GNB
2936,2015,GNB
2936,2016,GNB
2936,2017,GNB
9647,2001,CLE
9647,2002,CLE
9647,2003,CLE
9647,2004,CLE
9647,2005,DAL
9647,2006,DAL
9647,2007,DAL
9647,2008,DAL
9647,2009,DET
20786,1987,ATL
4138,1987,NWE
24211,1987,PIT
10491,2006,MIA
12990,1974,OAK
12990,1975,OAK
12990,1976,OAK
12990,1977,OAK
12990,1978,OAK
12990,1979,OAK
12990,1980,OAK
12990,1981,OAK
12990,1982,RAI
12990,1983,RAI
12990,1984,RAI
12990,1985,RAI
12990,1986,RAI
19031,2011,PHI
19031,2012,PHI
10945,1971,KAN
10945,1972,KAN
14394,1958,NYG
14394,1960,NYT
14394,1961,NYT
14394,1962,NYT
14394,1963,NYJ
14394,1964,NYJ
14394,1965,NYJ
14394,1966,NYJ
14394,1967,NYJ
14394,1968,NYJ
14394,1969,NYJ
14394,1970,NYJ
14394,1971,NYJ
14394,1972,NYJ
14394,1973,STL
