player_id,name,position,birth_state,college,high_school_state,draft_team,draft_round,draft_year,birth_year,birth_state_abr,high_school_state_abr
5573,Mark Devlin,BB,Massachusetts,Holy Cross,Massachusetts,,,,1894,MA,MA
8361,Donny Green,LB,Georgia,Virginia,Virginia,,,,1977,GA,VA
4866,Saville Crowther,G-T,Pennsylvania,Penn St.,Pennsylvania,,,,1901,PA,PA
9457,Herb Haygood,WR,Florida,Michigan St.,Florida,Denver Broncos,5,2002,1977,FL,FL
15408,Christopher Milton,CB,Georgia,Georgia Tech,Georgia,,,,1992,GA,GA
12458,Aaron Koch,G-T,Oregon,Oregon St.,Oregon,,,,1978,OR,OR
350,Colin Allred,LB,Texas,Baylor,Texas,,,,1983,TX,TX
21036,Dennis Sproul,QB,California,Arizona St.,California,Green Bay Packers,8,1978,1956,CA,CA
19006,Nick Rogers,LB,Georgia,Georgia Tech,Georgia,Minnesota Vikings,6,2002,1979,GA,GA
13678,Sid Luckman,QB-HB-DB,New York,Columbia,New York,Chicago Bears,1,1939,1916,NY,NY
14765,Tim McGee,WR,Ohio,Tennessee,Ohio,Cincinnati Bengals,1,1986,1964,OH,OH
22064,Jimmy Thomas,RB-WR,Texas,Texas-Arlington,Texas,San Francisco 49ers,6,1969,1947,TX,TX
22131,Tre Thomas,DB,Texas,Texas,Texas,,,,1975,TX,TX
16511,Josh Norman,TE,Texas,Oklahoma,Texas,,,,1980,TX,TX
6925,Dave Finzer,P,Illinois,Illinois,Illinois,,,,1959,IL,IL
10493,Jim Lee Hunt,DT-DE,Texas,Prairie View,Texas,St. Louis Cardinals,16,1960,1938,TX,TX
6200,Tracey Eaton,DB,Oregon,Portland St.,Oregon,Houston Oilers,7,1988,1965,OR,OR
10136,Robert Holmes,RB,Texas,Southern,Texas,Kansas City Chiefs,14,1968,1945,TX,TX
2493,Durant Brooks,P,Georgia,Georgia Tech,Georgia,Washington Redskins,6,2008,1985,GA,GA
22357,Dick Todd,B,Texas,Texas A&M;,Texas,Washington Redskins,5,1939,1914,TX,TX
15113,Terry Mendenhall,LB,California,San Diego St.,California,,,,1949,CA,CA
20627,Hal Smith,DT,California,UCLA,California,Chicago Cardinals,18,1957,1935,CA,CA
21471,Jack Stroud,G-T,California,Tennessee,California,New York Giants,5,1951,1928,CA,CA
716,George Atkinson,RB,California,Notre Dame,California,,,,1992,CA,CA
24512,Terrence Wisdom,G,New York,Syracuse,New York,,,,1971,NY,NY
5907,Tommy Dowler,WB,Pennsylvania,Colgate,Pennsylvania,,,,1908,PA,PA
20305,Mark Simoneau,LB,Kansas,Kansas St.,Kansas,Atlanta Falcons,3,2000,1977,KS,KS
21841,Courtney Taylor,WR,Alabama,Auburn,Alabama,Seattle Seahawks,6,2007,1984,AL,AL
7024,London Fletcher,LB,Ohio,John Carroll,Ohio,,,,1975,OH,OH
13673,Wayne Lucier,G-C,Massachusetts,Northwestern,Massachusetts,New York Giants,7,2003,1979,MA,MA
5396,Steve DeBerg,QB,California,San Jose St.,California,Dallas Cowboys,10,1977,1954,CA,CA
7253,Jeff Francis,QB,Illinois,Tennessee,Illinois,Los Angeles Raiders,6,1989,1966,IL,IL
1194,Earl Bartlett,HB,Oklahoma,Centre,Oklahoma,,,,1908,OK,OK
808,John Babinecz,LB,Pennsylvania,Villanova,Pennsylvania,Dallas Cowboys,2,1972,1950,PA,PA
23640,Joe Wesley,LB,Mississippi,LSU,Mississippi,,,,1976,MS,MS
24541,Earl Witte,BB-DB,Minnesota,Gustavus Adolphus,Minnesota,,,,1906,MN,MN
14333,Matt Mauck,QB,Indiana,LSU,Indiana,Denver Broncos,7,2004,1979,IN,IN
21562,Marques Sullivan,G-T,Illinois,Illinois,Illinois,Buffalo Bills,5,2001,1978,IL,IL
24460,Mike Windt,C,Ohio,Cincinnati,Ohio,,,,1986,OH,OH
2001,Lorenzo Booker,RB,California,Florida St.,California,Miami Dolphins,3,2007,1984,CA,CA
2578,Colin Brown,T,Missouri,Missouri,Missouri,Kansas City Chiefs,5,2009,1985,MO,MO
16552,Scott Norwood,K,Virginia,James Madison,Virginia,,,,1960,VA,VA
9616,Dutch Hendrian,B,Michigan,DePauw,Michigan,,,,1896,MI,MI
2867,Waymond Bryant,LB,Texas,Tennessee St.,Texas,Chicago Bears,1,1974,1952,TX,TX
12667,Larry Krutko,FB,Pennsylvania,West Virginia,Pennsylvania,Pittsburgh Steelers,2,1958,1935,PA,PA
641,LeFrancis Arnold,G,California,Oregon,California,,,,1952,CA,CA
1807,Harold Blackmon,DB,Illinois,Northwestern,Illinois,Seattle Seahawks,7,2001,1978,IL,IL
24206,Pryor Williams,G-C,Alabama,Auburn,Alabama,,,,1893,AL,AL
22920,Brian Vertefeuille,T,Connecticut,Idaho St.,Connecticut,San Diego Chargers,13,1974,1951,CT,CT
20710,Marv Smith,TB,Ohio,Purdue,Ohio,,,,1898,OH,OH
20307,Ed Simonini,LB,Virginia,Texas A&M;,Nevada,Baltimore Colts,3,1976,1954,VA,NV
8215,Fred Graham,E,West Virginia,Indiana St.,West Virginia,,,,1900,WV,WV
10956,Jon Jaqua,DB,Oregon,Lewis & Clark,Oregon,,,,1948,OR,OR
3627,Alvro Casey,T,Oklahoma,Haskell Indian,Oklahoma,,,,1903,OK,OK
23307,Adolphus Washington,DT,Ohio,Ohio St.,Ohio,Buffalo Bills,3,2016,1994,OH,OH
11339,Lee Johnson,WR,Texas,Tennessee St.,Texas,San Francisco 49ers,6,1968,1944,TX,TX
6475,Eric England,DE,Indiana,Texas A&M;,Texas,Arizona Cardinals,3,1994,1971,IN,TX
9336,Waddey Harvey,DT,Virginia,Virginia Tech,Virginia,Buffalo Bills,8,1969,1947,VA,VA
3414,Carl Cardarelli,C,Ohio,none,Ohio,,,,1897,OH,OH
14044,Joe Margucci,HB-QB,New York,USC,California,,,,1921,NY,CA
13879,Sean Mahan,G-C,Oklahoma,Notre Dame,Oklahoma,Tampa Bay Buccaneers,5,2003,1980,OK,OK
3448,Al Carmichael,HB,Massachusetts,USC,California,Green Bay Packers,1,1953,1928,MA,CA
365,Tyson Alualu,DT,Hawaii,California,Hawaii,Jacksonville Jaguars,1,2010,1987,HI,HI
23507,Corey Webster,DB,Louisiana,LSU,Louisiana,New York Giants,2,2005,1982,LA,LA
2925,Gary Bugenhagen,G-T,New York,Syracuse,New York,Buffalo Bills,4,1967,1945,NY,NY
16214,Frankie Neal,WR,Florida,Florida,Florida,Green Bay Packers,3,1987,1965,FL,FL
4110,Jadeveon Clowney,DE,South Carolina,South Carolina,South Carolina,Houston Texans,1,2014,1993,SC,SC
16246,Bill Neill,NT,New Jersey,Pittsburgh,Pennsylvania,New York Giants,5,1981,1959,NJ,PA
7778,Woody Gerber,G,Illinois,Alabama,Illinois,,,,1920,IL,IL
8091,Andre' Goodman,DB,South Carolina,South Carolina,South Carolina,Detroit Lions,3,2002,1978,SC,SC
21887,Otis Taylor,WR-FL,Texas,Prairie View,Texas,Kansas City Chiefs,4,1965,1942,TX,TX
11838,John Kacherski,LB,New York,Ohio St.,New York,,,,1967,NY,NY
18103,Brent Qvale,T,North Dakota,Nebraska,North Dakota,,,,1991,ND,ND
22633,Daryl Turner,WR,Georgia,Michigan St.,Michigan,Seattle Seahawks,2,1984,1961,GA,MI
13666,Richie Lucas,QB-DB-HB,Pennsylvania,Penn St.,Pennsylvania,Washington Redskins,1,1960,1938,PA,PA
23740,Bob White,FB,Ohio,Ohio St.,Kentucky,Cleveland Browns,8,1960,1938,OH,KY
24955,Carl Zander,LB,New Jersey,Tennessee,New Jersey,Cincinnati Bengals,2,1985,1963,NJ,NJ
18646,Tom Ricketts,G-T,Pennsylvania,Pittsburgh,Pennsylvania,Pittsburgh Steelers,1,1989,1965,PA,PA
22283,John Tice,TE,New York,Maryland,New York,New Orleans Saints,3,1983,1960,NY,NY
9663,Steve Henry,DB,Kansas,Emporia St.,Kansas,St. Louis Cardinals,5,1979,1957,KS,KS
18867,Greg Robinson,OT,Louisiana,Auburn,Louisiana,St. Louis Rams,1,2014,1992,LA,LA
12441,Larry Knorr,E,New York,Alabama,Ohio,,,,1917,NY,OH
7774,Sid Gepford,HB,Illinois,Millikin,Illinois,,,,1895,IL,IL
9343,Jon Haskins,LB,Iowa,Stanford,Florida,San Diego Chargers,7,1998,1975,IA,FL
7056,Eric Floyd,G-T,Georgia,Auburn,Georgia,,,,1965,GA,GA
8983,Tim Hanshaw,G,Washington,BYU,Washington,San Francisco 49ers,4,1995,1970,WA,WA
7270,Donald Frank,DB,North Carolina,Winston-Salem St.,North Carolina,,,,1965,NC,NC
17545,Kim Phillips,DB,Texas,North Texas,Texas,New Orleans Saints,3,1989,1966,TX,TX
14266,Ricardo Mathews,DT,Florida,Cincinnati,Florida,Indianapolis Colts,7,2010,1987,FL,FL
4868,Phil Croyle,LB,Illinois,California,California,Houston Oilers,7,1971,1947,IL,CA
19109,Brandian Ross,CB,Virginia,Youngstown St.,Virginia,,,,1989,VA,VA
24174,Mark Williams,LB,Maryland,Ohio St.,Maryland,,,,1971,MD,MD
